Gender,First Name,Last Name,City,State,Country,Age,Annual Vacation Days,Average Monthly Spend on Entertainment,Number of Online Purchases in Last Month,Number of Charity Donations in Last Year,Average Weekly Exercise Hours,Investment Portfolio Value,Health Consciousness Rating,Education Level,Average Daily Screen Time,Environmental Awareness Rating,Social Media Influence Score,Risk Tolerance in Investments,Number of Professional Trainings Attended,Tech-Savviness Score,Financial Wellness Index,Lifestyle Balance Score,Entertainment Engagement Factor,Social Responsibility Index,Work-Life Balance Indicator,Investment Risk Appetite,Eco-Consciousness Metric,Stress Management Score,Time Management Skill,Lifestyle Choice
female,Elisa,Márquez,Vigo,Castilla la Mancha,Spain,24,20.628,14.0318,129.6126,0.0,0.0,14.6395,0.5596,10.4232,3.6934,0.5936,7.7551,1.1193,3.144,15.2084,104.9964,23.7222,1.8954,0.0407,0.0,7.8725,0.0026,3.4601,24.6217,Social Media Influencer
female,Vanesa,Márquez,Hospitalet de Llobregat,La Rioja,Spain,34,0.0,41.7078,113.1069,1.4891,0.204,5.6304,0.645,2.9903,2.3771,1.029,4.5413,4.6869,1.7927,12.5339,95.0666,0.0,2.031,0.1093,0.0761,0.0,0.0,3.3125,9.1682,Adventure Seeker
female,Joy,Welch,Lakewood,Washington,United States,46,21.9343,15.4419,99.5413,0.0,0.2325,12.2387,0.5723,0.5397,4.3722,1.829,4.2407,11.4705,2.6267,17.078,99.0887,23.1365,1.507,0.0,0.0564,6.4297,1.3033,2.2594,22.3421,Digital Nomad
female,Teresa,Patterson,San Antonio,West Virginia,United States,34,16.0775,6.0416,133.2148,0.0305,0.0918,8.7911,0.6755,8.2299,2.284,1.5263,3.3502,13.8816,3.6224,22.8316,100.6224,14.5599,1.7866,0.0,0.0208,7.7472,0.0,2.7612,41.4977,Digital Nomad
female,Emma,Walker,Sutton,Northwest Territories,Canada,40,18.2285,6.6335,140.9437,0.0,0.0,26.7233,0.6015,10.2222,3.2828,1.8103,24.0511,2.8932,4.3039,25.667,101.387,21.3482,1.8574,0.1077,0.0,0.4877,0.0512,3.0979,67.9816,Digital Nomad
female,Laurie,Margaret,Richmond,Saskatchewan,Canada,46,17.3409,3.7702,164.5467,0.1479,0.0,0.0,0.7355,4.353,2.8681,0.4614,1.5647,6.261,4.0553,13.8277,59.324,16.6753,1.0837,0.0,0.0,5.389,0.2548,1.1147,47.1582,Investor
female,Chloe,Griffin,Leeds,Warwickshire,United Kingdom,33,21.1273,6.9306,126.6643,0.0,3.8695,6.2408,0.7433,4.0502,4.3728,0.9561,2.2205,5.103,2.3029,12.8972,99.2983,20.9515,1.4308,0.0,0.6024,1.9874,0.0,2.2116,11.7575,Adventure Seeker
female,Karen,Ramirez,Preston,Shropshire,United Kingdom,25,18.2309,45.8573,108.4547,0.0,0.0852,27.4144,0.6548,12.3955,1.5139,2.4096,6.4134,3.5183,4.2791,17.798,103.1894,16.264,1.976,0.3456,0.497,4.5144,0.0566,3.1513,65.2478,Digital Nomad
female,Isabella,Diaz,Irving,Wisconsin,United States,30,18.5963,9.777,124.2282,0.0,1.917,12.6308,4.3071,3.3712,3.8833,0.4931,7.9484,4.4693,3.7926,12.7042,101.7714,22.6099,1.4898,0.0,0.9332,0.0,0.0073,2.3808,48.3324,Adventure Seeker
female,Britney,Macrae,Coventry,Greater Manchester,United Kingdom,37,18.7991,45.6628,80.0675,0.0,0.0037,13.2118,0.9217,4.1586,4.3109,0.4697,18.84,4.2264,2.4572,19.0746,99.3466,21.6071,2.2036,0.191,0.6669,1.3676,0.0073,4.483,11.509,Tech-Savvy
female,Anujna,Adiga,Firozabad,Punjab,India,31,18.148,6.7434,157.818,0.0,0.0155,3.0169,0.7916,2.717,1.6647,1.8672,3.1509,3.5574,2.1434,25.0739,96.2748,16.3258,1.3354,0.0,0.0,0.5328,0.0022,1.6812,9.8938,Digital Nomad
female,Encarnación,Márquez,Talavera de la Reina,La Rioja,Spain,54,39.083,41.1372,142.832,0.1105,0.0288,66.2752,0.6512,3.6295,7.9511,0.7014,5.1687,6.1416,2.8713,13.8447,32.7285,45.5552,2.2848,0.1193,0.0152,5.8592,0.027,5.0258,24.4199,Urban Professional
female,Andrea,Dixon,Wichita,South Dakota,United States,36,33.1002,107.7067,105.8458,0.0,0.0185,21.1851,0.7866,7.4682,4.3315,1.179,6.9803,2.9722,2.642,16.8188,90.5905,35.3234,2.0731,0.0,0.0247,4.1485,0.0,4.4024,19.0288,Digital Nomad
female,Emily,Fuller,Dundee,West Yorkshire,United Kingdom,25,0.8595,42.0897,162.9722,1.108,0.0225,13.7066,3.6837,7.4676,4.3708,0.5257,3.3359,5.8811,3.7786,14.5814,112.3488,1.3408,1.977,0.0532,0.4821,6.8646,0.0226,3.7875,39.3286,Health-Conscious
female,Victoria,Pastor,Sevilla,Comunidad Valenciana,Spain,40,50.0341,30.7051,109.4298,0.1058,0.0,3.938,1.9699,1.0983,2.5014,0.681,11.6037,5.0554,2.0254,13.2072,98.1996,45.6084,1.9353,0.0,0.7496,1.9279,0.0075,3.8767,7.0253,Social Media Influencer
female,Hailey,Ouellet,Burlington,Manitoba,Canada,24,37.8098,14.3373,167.9072,0.0383,0.0,4.5133,0.6508,6.4568,4.2398,0.5322,7.093,3.9603,3.2729,16.8433,104.1689,42.113,2.1151,0.0,0.0082,4.4796,0.1848,4.5063,32.5358,Social Media Influencer
female,Lidia,Morales,Toledo,Región de Murcia,Spain,34,25.9313,9.4835,134.2554,0.105,2.4376,0.4745,1.8156,3.8933,7.3075,0.616,9.7629,4.8524,4.9626,13.8835,104.3349,32.8477,1.7185,0.3342,0.0088,5.4594,0.5042,2.6213,99.8027,Fitness Enthusiast
female,Sonali,Suvarna,Bangalore,Andaman and Nicobar Islands,India,40,40.1209,16.8211,126.168,0.0,0.0834,5.5274,0.8763,11.1595,5.9105,0.6813,3.511,17.3194,2.8298,13.2738,108.1102,44.1208,1.8938,0.0,0.0292,7.2055,0.0183,3.4719,22.0848,Health-Conscious
female,Kim,Ramirez,Durham,West Glamorgan,United Kingdom,50,12.9168,9.5812,125.0078,0.0,0.8642,12.7005,0.1146,0.6755,3.6473,0.7541,14.8164,4.9649,1.3338,12.7331,94.1359,13.3217,1.8017,0.0,0.0103,6.333,0.0,2.7791,5.6349,Fitness Enthusiast
female,Maya,Park,Victoria,Nunavut,Canada,24,14.8391,6.1428,180.002,0.9583,0.0273,0.0,0.7174,7.4116,4.1222,1.9373,1.7107,10.9228,4.1055,14.7546,237.3475,17.1341,1.1287,0.0,0.0,2.0651,0.1162,1.1464,56.1533,Sustainable Investor
female,Bella,Ellis,Princeton,Alaska,United States,29,24.1068,44.5689,95.7708,0.0,0.0,9.2536,0.6611,2.7151,1.6647,0.6301,6.8681,1.3836,4.8537,12.7338,100.0572,25.0492,1.7919,0.0257,0.0,4.3782,0.0129,3.0543,84.7175,Social Media Influencer
female,Ellie,Jones,Wakefield,Cambridgeshire,United Kingdom,39,29.7659,8.1612,158.5529,0.4829,0.0,3.713,0.6885,9.1453,2.1309,3.2093,1.1188,14.2272,3.1533,13.7553,20.9238,30.1828,1.2048,0.1018,0.765,6.8035,0.0144,1.2779,17.8836,Sustainable Investor
female,Jesús,Romero,Móstoles,Región de Murcia,Spain,44,1.1685,13.7342,136.2388,0.0,0.0784,12.0296,0.719,7.6499,2.6814,3.8599,3.0318,4.6971,5.0799,20.221,98.8844,0.0,1.7155,0.0,0.0167,6.9106,0.0,2.1908,100.5472,Digital Nomad
female,Katie,Williams,Dunedin,Northland,New Zealand,32,6.6607,16.5653,135.016,0.0584,0.5957,38.3715,0.8339,7.3728,5.5677,2.9913,1.0172,3.1957,1.185,15.622,98.6454,5.296,1.1332,0.0,0.8095,1.6842,0.0,1.001,5.3397,Travel Enthusiast
female,Leanne,Ginnish,Richmond,Yukon,Canada,31,23.1261,8.3836,101.075,0.6758,0.0683,6.8359,0.7082,2.3546,4.6359,3.3635,3.0768,12.2568,3.2285,11.788,360.0715,26.6285,1.6954,0.0,0.0,1.4297,0.0149,2.7986,29.4826,Sustainable Investor
female,Dawn,Reid,Orlando,Illinois,United States,33,2.7442,15.2291,128.4322,0.0,0.0714,11.9556,0.5066,6.1299,3.26,0.5664,13.0901,3.1563,3.2202,13.4629,96.2805,0.58,1.8833,0.0336,0.0,6.8841,0.007,2.6332,26.5022,Travel Enthusiast
female,Aparna,Almeida,Vijayanagaram,Rajasthan,India,32,11.0247,7.4405,73.5646,0.0,0.0,9.9809,0.6122,4.0854,6.6394,0.5253,10.506,7.2669,0.3537,22.3441,99.9182,12.4461,1.7863,0.0258,0.2391,7.1153,0.0,2.6326,0.1568,Tech-Savvy
female,Rita,Adams,Topeka,Indiana,United States,33,21.8633,36.5753,132.948,0.0057,0.0,11.842,0.9914,8.4476,4.6144,0.5876,16.855,7.7449,3.9805,24.0292,99.3618,24.047,2.1131,0.0534,0.0094,7.605,0.0093,4.1791,53.4855,Tech-Savvy
female,Elsie,Mendoza,Cincinnati,Wyoming,United States,37,3.8822,14.4077,209.8249,0.4003,0.0157,13.286,0.846,7.4466,5.7781,3.4012,3.3783,13.5689,3.2161,16.2413,34.8071,3.5738,1.8658,0.2606,0.0417,5.6589,0.0098,2.4595,32.2316,Sustainable Investor
female,Maeva,Chu,Souris,New Brunswick,Canada,42,22.9147,41.0495,156.9846,0.0,0.0604,8.8978,0.5017,10.087,5.685,0.9002,9.357,5.964,1.3982,14.4929,0.5843,24.1883,2.3566,0.0523,0.0,3.9915,0.0273,5.2845,5.8383,Investor
female,Aurora,Romero,Oviedo,Comunidad de Madrid,Spain,28,7.2247,7.011,121.5312,1.3728,0.0439,0.5692,0.6969,4.862,6.1754,2.1486,1.9775,11.7077,4.7291,13.2141,293.9485,8.3774,1.485,0.0,0.203,3.4399,0.0048,1.6937,99.2827,Sustainable Investor
female,Neysa,Kamath,Aurangabad,Chandigarh,India,48,25.1635,8.976,100.9573,0.0,0.0826,0.0,1.4433,8.7697,5.2946,0.5894,2.0165,4.6437,3.0952,11.6706,173.0208,27.4141,1.2522,0.0,0.723,0.1618,0.03,1.6325,23.714,Urban Professional
female,Teresa,Ortega,Albacete,Asturias,Spain,33,16.4194,11.9767,168.3374,0.0,0.0045,17.9801,0.8204,5.1478,6.1151,0.4886,11.136,5.3109,4.7114,25.3775,100.464,19.2229,1.5362,0.0,0.0,0.8413,0.0177,2.2337,95.5579,Tech-Savvy
female,Eliza,Evans,Durham,Borders,United Kingdom,51,20.0857,40.9558,147.6066,0.0,0.065,12.884,0.7815,9.7534,6.0291,0.3248,15.0969,4.5232,6.7809,26.2136,99.1064,24.1074,2.5599,0.0,1.0027,0.4447,0.0,6.0354,102.5583,Tech-Savvy
female,Emilie,Anderson,Minto,Prince Edward Island,Canada,20,30.3997,37.3313,126.805,0.0,0.0409,13.0688,0.7256,6.8791,1.5818,4.4282,5.7061,3.9038,3.386,22.4831,100.2561,30.0699,2.0063,0.0995,0.0436,0.9169,0.002,4.0196,32.7996,Digital Nomad
female,Eleanor,Walker,Armagh,Borders,United Kingdom,41,39.0002,41.0733,163.8225,0.7813,0.0,310.9383,0.6449,4.7675,3.7454,6.2042,4.7574,4.2289,1.9033,14.5377,104.1996,44.9702,2.1208,0.0,0.0013,0.9964,0.0161,4.4401,7.8202,Eco-Friendly
female,Rathi,Namnaik,Jehanabad,Uttar Pradesh,India,60,22.7404,10.1783,128.9384,0.0,0.3252,5.9377,0.388,5.459,7.1775,0.5657,8.773,2.6394,4.8798,13.6328,101.465,28.1876,1.8462,0.0625,0.6233,2.0702,0.0016,3.0868,101.065,Fitness Enthusiast
female,Camille,Bergeron,Delisle,Northwest Territories,Canada,25,14.3359,10.8096,165.9595,0.0,0.0,7.2164,0.725,6.8933,0.3965,1.8898,8.8147,4.3847,4.1053,24.9662,99.5523,10.9244,1.4714,0.1048,0.5609,5.9591,0.0,1.6151,39.1414,Tech-Savvy
female,Ana,Pérez,Orihuela,Aragón,Spain,25,9.933,40.2077,125.1218,0.0377,0.8482,14.4497,0.6506,10.0355,8.1757,3.928,3.9814,7.6374,1.9491,13.6594,60.1648,7.3955,2.0878,0.0,0.6102,6.6736,0.0118,3.2364,11.6742,Urban Professional
female,Vidya,Uchil,Sonipat,Uttarakhand,India,40,26.1579,9.3839,95.4624,3.0079,0.0181,314.4048,0.7988,8.3834,3.5082,7.5839,1.5945,4.6071,1.6796,11.4684,102.6286,31.1507,1.3767,0.0,0.344,0.0,0.0,2.0201,6.3635,Eco-Friendly
female,Suzanna,Henry,Leeds,East Sussex,United Kingdom,25,43.4735,8.1099,102.9909,0.7077,0.0,0.0,0.7383,6.2215,2.5709,1.1642,3.0383,18.3583,3.5715,11.5492,273.7312,44.8366,1.7926,0.0,0.0242,7.1488,0.0004,3.1889,33.2353,Investor
female,Leah,Wilson,Gisborne,Gisborne,New Zealand,31,17.6516,28.5062,134.721,0.0,0.0026,35.2341,0.6971,9.5809,2.5116,0.5975,3.925,7.3643,3.5953,12.8429,173.2954,16.9125,1.9259,0.0203,0.0202,0.0,0.0,3.1268,26.5851,Urban Professional
female,Sophia,Macdonald,Grand Falls,Alberta,Canada,45,23.1708,7.8468,164.9204,2.7657,0.0,7.6451,0.838,9.5658,1.7775,1.2389,1.4852,14.1259,5.2398,13.7496,30.5046,24.2291,1.1119,0.1144,0.0,7.9798,0.0,1.5448,86.9795,Investor
female,Arlene,Wells,Independence,Louisiana,United States,35,12.6519,32.1608,156.6717,1.2262,0.0352,7.4227,0.9787,3.0993,5.1586,0.6493,4.5621,4.2008,2.298,14.3138,96.3787,15.0177,2.1131,0.0,0.0291,3.2461,0.0124,5.3036,11.9217,Health-Conscious
female,Irene,Sims,Elgin,Massachusetts,United States,36,37.3856,26.4231,146.4473,0.0,0.0,3.0696,0.7989,1.7957,2.7586,0.5345,3.8204,16.9186,3.9278,13.4393,72.7963,38.2213,2.0225,0.0244,0.8086,7.6416,0.0,4.0181,48.1753,Investor
female,Carla,Henry,Round Rock,Connecticut,United States,19,30.64,10.3172,113.7232,0.0031,2.7169,10.3382,0.5804,0.8193,0.0,1.5943,5.472,6.041,4.4407,10.4962,98.2185,25.7868,1.6107,0.0,0.6551,4.1094,0.0,2.4143,53.7956,Adventure Seeker
female,Clara,Ortega,Alcalá de Henares,Canarias,Spain,35,8.3603,6.4085,177.0879,2.6132,0.0442,7.6112,1.5377,9.5846,7.9953,0.495,3.945,7.9597,1.9083,15.5915,98.5781,11.0383,1.8919,0.0926,0.5507,8.3402,0.0034,4.2892,9.7454,Health-Conscious
female,Isabella,Campbell,Lloydminster,Alberta,Canada,31,7.7898,11.0079,118.2462,0.0,0.0542,13.2923,0.707,8.108,6.9685,0.7089,10.5234,4.7999,2.1806,32.1758,95.2118,7.616,1.7665,0.0,0.2665,7.1168,0.0,2.2762,12.4344,Tech-Savvy
female,Marta,Aguilar,La Palma,Extremadura,Spain,47,27.7415,6.2133,151.9413,0.2902,0.0716,10.1728,0.6259,1.3153,4.7042,1.707,3.0867,5.3096,2.1897,14.3805,49.1388,30.461,1.8343,0.0298,0.0299,6.9503,0.0001,3.3364,9.6429,Adventure Seeker
female,Nellie,Porter,Fort Lauderdale,Michigan,United States,26,23.8474,42.4926,146.4728,0.0,1.5219,9.0483,0.6994,6.5528,4.0294,2.6553,4.6466,17.8249,1.8787,13.7607,97.5502,22.9028,2.1924,0.0,0.0,7.6567,0.1435,4.6512,8.0584,Adventure Seeker
female,Gema,Ortiz,Murcia,Región de Murcia,Spain,33,20.9079,28.835,91.9098,0.0067,0.2066,19.6028,0.6897,10.3673,6.228,1.1418,2.4916,4.1095,1.9341,12.4331,101.7026,21.0617,1.694,0.2184,0.2035,7.1657,0.0284,2.7863,8.7631,Travel Enthusiast
female,Herminia,Hunt,El Cajon,Kansas,United States,55,30.4988,44.4761,179.6425,1.1182,0.0268,10.9323,5.9686,6.3108,8.097,0.5048,4.5377,7.3219,1.5244,15.6801,100.705,37.9171,2.1668,0.0393,0.32,8.0093,0.0015,6.7243,6.5366,Health-Conscious
female,Marjorie,Dunn,Norfolk,Missouri,United States,51,7.8547,41.4858,157.9778,1.7357,0.0498,0.0,0.7112,10.3165,9.3278,2.1231,8.4768,13.7444,2.908,15.1378,36.3473,9.8116,2.8965,0.1538,0.2918,4.1414,0.0248,6.7915,32.7822,Sustainable Investor
female,Molly,Hughes,Nelson,Northland,New Zealand,28,33.3375,55.4636,144.8048,0.1288,0.0,38.8508,0.8676,8.0815,4.4616,0.3252,9.4763,13.5766,1.7795,21.1177,109.5273,36.8089,2.1262,0.0,0.1549,6.6542,0.0,4.4793,8.0645,Tech-Savvy
female,Carolina,Rodríguez,Pontevedra,La Rioja,Spain,21,16.8393,14.7371,118.2835,0.0,0.5312,13.0924,0.2197,2.9208,3.29,0.9728,11.2422,3.4524,2.4986,12.4396,69.8894,17.8686,1.9503,0.0,0.0166,4.8395,0.0,3.1362,11.1322,Budget-Conscious
female,Dolores,Thompson,Port St. Lucie,Utah,United States,23,9.7801,25.781,121.7353,0.4033,0.0,23.0642,2.6276,5.6842,4.9058,0.6999,11.2684,5.3756,4.0665,15.0994,85.7293,9.6261,2.019,0.6585,0.0062,0.8069,0.7694,3.4804,55.2718,Social Media Influencer
female,Manasa,Fernandes,Kharagpur,Manipur,India,23,4.1372,43.86,102.5572,0.0858,0.0414,5.7201,0.6496,10.1039,3.6778,1.0437,13.7636,4.6806,1.2577,27.2186,100.2488,0.9468,2.5026,0.0,0.0121,6.7037,0.0101,4.5078,7.2865,Tech-Savvy
female,Hilda,Dunn,Fargo,South Carolina,United States,19,21.6737,5.3423,90.1866,0.0271,0.0727,7.5717,0.6693,6.3752,5.4078,0.7839,1.9526,5.5543,3.4357,11.221,59.184,23.852,1.4421,0.0,0.0047,6.186,0.0,2.0388,36.667,Budget-Conscious
female,Nieves,Soto,Arrecife,Ceuta,Spain,32,27.7574,28.1361,132.9654,0.0,0.5335,3.3523,2.5765,9.1735,2.0489,0.4485,2.1937,12.3009,3.5592,13.2192,103.2827,28.5758,0.8983,0.1045,0.0779,7.3234,0.0043,0.9518,27.887,Fitness Enthusiast
female,Sowjanya,Mathew,Surat,Dadra and Nagar Haveli,India,34,15.7991,45.2119,106.7412,0.0,0.3978,26.0446,1.8953,6.3256,4.4353,0.8507,9.173,5.5498,4.618,12.3247,103.6505,14.787,1.6612,0.04,0.0274,2.1199,1.1479,2.086,71.561,Travel Enthusiast
female,Ruby,Anderson,Whangarei,Manawatu-Wanganui,New Zealand,27,30.5245,46.046,205.5556,0.0,1.8351,0.0,0.6816,1.9459,6.6094,1.006,4.9352,7.2604,2.1519,16.3195,88.438,29.1958,2.1223,0.0495,1.0341,1.9417,0.0,3.8705,16.3714,Investor
female,Mandy,Bradley,Nottingham,County Down,United Kingdom,26,33.36,13.5217,99.7607,0.0,0.8043,0.0,1.2124,0.0,5.3735,0.5995,10.2576,4.2966,2.172,11.6755,138.5221,37.6836,1.7072,0.0,0.6384,0.1186,0.0,2.5418,11.2179,Budget-Conscious
female,Angela,Santiago,Vitoria,Islas Baleares,Spain,55,34.27,53.3588,130.57,0.226,0.0,72.8865,0.6168,2.7259,5.0368,2.7602,5.3813,6.6439,0.0,14.0365,100.9887,37.5963,2.2709,0.0,0.7428,7.4357,0.0062,5.1902,0.0,Travel Enthusiast
female,Ira,Nair,Bhind,Chandigarh,India,54,22.0179,33.3112,126.1302,0.0,0.2634,10.1451,0.4794,1.6181,8.0745,0.8785,8.6733,3.7703,1.3991,13.9361,89.6843,26.4812,2.1678,0.0674,0.379,7.4933,0.0,4.2982,6.2104,Fitness Enthusiast
female,Kimberly,Parker,Worcester,Fife,United Kingdom,23,18.9449,21.7493,135.8493,0.0,0.0041,5.528,0.6252,1.62,8.4792,0.6367,12.0348,5.1439,5.0257,14.2253,97.5509,21.5427,1.9488,0.0975,0.3487,7.5725,0.0,3.4726,99.3698,Travel Enthusiast
female,Megan,Lavigne,Cadillac,Yukon,Canada,34,17.8358,27.3549,173.9791,0.0,0.0,4.4137,0.8378,3.49,0.0,1.0688,5.8923,6.9174,4.0972,20.4397,100.4367,15.6119,1.6476,0.0,0.0266,6.427,0.296,2.3028,38.8161,Digital Nomad
female,Victoria,Vázquez,Vitoria,País Vasco,Spain,30,22.8754,23.139,106.2858,0.0985,0.0069,10.0993,1.4625,9.3987,2.0159,0.5567,7.2454,7.9723,1.3707,13.9975,97.1043,22.5217,1.5122,0.0,0.7283,6.117,0.0,2.3164,3.0995,Social Media Influencer
female,Leah,Carr,Swansea,Isle of Wight,United Kingdom,23,18.6891,7.548,112.8054,0.0295,0.0,16.9696,0.4637,8.0994,3.2111,1.4222,5.751,3.6326,2.9588,19.0207,88.2356,18.2618,1.6433,0.0914,0.0084,5.2821,0.7667,2.3307,23.4143,Digital Nomad
female,Jenisha,Sullad,Bhavnagar,Jharkhand,India,39,40.1778,5.9343,171.0952,1.2695,0.0,137.758,0.7956,3.6069,5.7064,1.5114,2.9687,4.5012,2.8892,20.7068,118.1082,46.892,1.5589,0.0984,0.1351,2.9893,0.0,2.4185,21.635,Digital Nomad
female,Ava,Li,St. George,New Brunswick,Canada,29,2.1779,40.0307,153.7324,0.0,0.0393,1.1354,0.763,8.8659,4.5369,0.5302,5.8691,3.9006,3.0094,14.1241,92.1786,3.6646,2.4162,0.1314,0.9882,1.7329,0.0179,4.2599,23.0519,Budget-Conscious
female,Neysa,Bhardwaj,Madurai,Chandigarh,India,29,13.9333,18.5882,106.0694,0.0,0.0,12.9403,0.7348,5.3126,5.4594,0.6117,9.6909,6.5535,1.8188,19.6014,101.2164,16.3027,1.576,0.0,0.0569,3.9303,0.9652,2.0319,9.1543,Tech-Savvy
female,Celia,Diez,Logroño,Asturias,Spain,39,15.7152,29.9153,154.3873,0.0341,0.0084,26.6674,0.641,5.0172,5.159,0.4419,9.2443,6.7611,1.6948,22.9738,98.2487,18.0306,1.8785,0.2122,0.6583,6.6259,0.0,3.1401,8.6596,Tech-Savvy
female,Kavya,Chavare,Darbhanga,Maharashtra,India,49,0.7701,40.3817,133.2676,0.0026,0.0649,2.2228,0.7312,7.2908,3.9556,0.425,6.5388,5.1691,5.1042,12.8986,57.268,0.6785,2.541,0.1848,0.9915,0.5911,0.0154,4.5799,97.101,Health-Conscious
female,Stella,Wood,Blenheim,Nelson,New Zealand,27,20.9248,38.6804,162.0574,0.0,0.4997,16.8846,0.7587,8.3544,2.9348,1.5286,3.8929,15.2008,3.0775,14.2586,92.422,19.8151,2.0888,0.0,0.815,8.0806,0.0,3.8292,19.4702,Adventure Seeker
female,Vicky,Woods,Lichfield,Gwynedd County,United Kingdom,40,0.0,5.7386,150.2094,0.0006,0.0594,11.727,0.7593,4.2231,4.2553,0.5611,2.5342,5.1362,4.7988,13.7646,149.8682,0.0,1.6425,0.0,0.4221,1.2114,0.006,2.0206,95.216,Urban Professional
female,Marcia,Powell,Greensboro,Nebraska,United States,53,29.6286,12.961,135.7534,0.0,4.2548,6.094,0.977,1.7573,5.705,0.6682,3.299,5.9541,3.8452,13.4305,105.9804,32.1366,1.8394,0.0,0.5603,0.1745,0.0,3.1033,61.2087,Fitness Enthusiast
female,Luisa,Sanz,Vitoria,Comunidad Valenciana,Spain,41,24.1148,14.5381,119.392,0.0,3.6194,12.9192,1.1805,5.2407,3.7313,0.6142,1.8819,8.3983,0.6835,12.5226,94.5993,22.1538,1.5574,0.0,0.3581,0.0953,0.0,2.3608,2.2641,Health-Conscious
